State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
Alabama,2002,2812905,138,48.336,1048,372.703,728,258.844,49,16.556,20,59.732,73,25.967,141,50.275,930,330.659
Alaska,2002,368460,27,61.479,206,559.151,92,249.578,5,24.4,4,77.736,26,71.362,46,124.566,112,304.22
Arizona,2002,3329482,258,73.819,1774,532.858,919,275.99,86,32.411,25,64.179,122,36.657,215,64.64,1032,309.969
Arkansas,2002,1687337,101,61.457,664,393.372,539,319.224,26,18.643,13,66.71,57,33.891,104,61.51,660,391.21
California,2002,21392421,1298,55.109,11847,553.801,4028,188.269,410,16.995,158,58.786,978,45.736,1670,78.068,4721,220.699
Colorado,2002,2798960,211,67.113,1758,627.921,712,254.318,83,26.412,23,75.936,168,60.119,300,107.298,836,298.565
Connecticut,2002,2235763,120,53.908,1364,610.183,504,225.643,33,18.187,20,83.099,94,42.218,158,70.859,578,258.6
Delaware,2002,514059,31,57.563,287,558.889,127,247.854,11,16.101,4,79.415,20,39.56,36,70.945,146,283.159
District of Columbia,2002,372907,31,29.961,218,585.239,98,263.999,14,6.466,2,68.901,26,69.323,40,106.759,109,293.435
Florida,2002,11066322,620,53.965,6162,556.781,2610,235.882,220,19.419,77,67.541,526,47.513,900,81.349,3089,279.116
Georgia,2002,5202846,331,47.81,2571,494.115,1348,259.056,108,16.771,40,59.333,165,31.782,331,63.636,1617,310.698
Hawaii,2002,761280,45,64.197,390,512.835,166,217.747,9,17.017,6,70.172,37,49.01,59,77.044,186,243.703
Idaho,2002,794611,52,77.889,408,513.435,180,226.765,7,17.981,7,63.64,25,31.031,42,52.747,216,271.341
Illinois,2002,7825956,564,60.82,4234,540.97,2023,258.512,143,16.724,58,62.369,253,32.348,462,58.985,2373,303.276
Indiana,2002,3788500,230,62.06,1824,481.56,1033,272.616,68,19.954,25,54.761,148,39.114,245,64.789,1228,324.224
Iowa,2002,1847207,114,75.645,1067,577.894,464,251.356,27,21.778,12,53.682,56,30.436,104,56.274,544,294.414
Kansas,2002,1645149,86,51.188,822,499.65,412,250.627,24,17.971,11,51.272,46,27.944,87,52.901,506,307.314
Kentucky,2002,2605898,125,52.574,1049,402.697,879,337.387,50,20.456,19,69.493,99,38.175,177,67.751,1004,385.381
Louisiana,2002,2668243,169,59.666,1262,472.993,732,274.469,65,16.527,20,56.358,89,33.271,154,57.805,850,318.712
Maine,2002,869560,51,55.913,473,544.405,227,260.988,13,21.845,8,83.056,46,53.34,68,77.963,267,306.937
Maryland,2002,3466746,226,53.721,2022,583.384,793,228.843,59,13.767,28,66.743,113,32.664,237,68.399,928,267.636
