Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
52,196,728,136.906,392.404,258.844,63,226,930,166.578,451.976,330.659
9,28,92,132.517,439.749,249.578,11,30,112,163.918,484.27,304.22
62,234,919,128.357,388.473,275.99,73,240,1032,151.071,397.968,309.969
37,154,539,160.479,509.682,319.224,46,169,660,195.714,558.846,391.21
235,1245,4028,74.824,317.661,188.269,290,1377,4721,92.235,351.353,220.699
53,220,712,137.437,445.605,254.318,67,247,836,174.446,499.545,298.565
40,134,504,134.487,415.563,225.643,45,149,578,151.937,461.399,258.6
9,38,127,140.664,426.917,247.854,11,41,146,163.023,464.75,283.159
2,24,98,70.956,332.627,263.999,3,28,109,95.288,373.867,293.435
165,579,2610,122.611,367.507,235.882,193,655,3089,143.359,415.541,279.116
96,335,1348,128.338,354.795,259.056,118,395,1617,157.931,417.44,310.698
9,42,166,87.795,343.201,217.747,13,45,186,123.329,365.9,243.703
16,64,180,124.806,390.162,226.765,19,71,216,146.953,430.815,271.341
141,590,2023,130.005,427.52,258.512,162,645,2373,149.729,466.831,303.276
78,317,1033,143.895,449.388,272.616,91,347,1228,168.401,492.962,324.224
35,147,464,142.729,419.108,251.356,40,171,544,163.386,486.748,294.414
34,127,412,139.526,396.242,250.627,38,146,506,155.676,456.805,307.314
58,241,879,176.225,530.579,337.387,76,268,1004,231.77,588.839,385.381
61,228,732,150.078,423.585,274.469,72,259,850,175.791,482.136,318.712
13,57,227,121.629,438.887,260.988,15,66,267,135.548,504.427,306.937
53,193,793,110.805,359.135,228.843,61,226,928,127.003,420.454,267.636
59,258,889,116.936,383.966,211.581,73,286,1045,143.674,425.295,248.799
122,467,1747,135.937,428.101,277.355,142,520,2036,158.902,476.4,323.166
70,276,776,156.694,482.232,245.859,79,294,939,176.944,513.143,297.813
33,144,502,128.348,415.653,294.637,43,166,611,165.7,477.678,358.719
88,299,1085,178.76,475.865,305.597,103,325,1285,210.137,517.593,361.885
13,46,152,161.031,449.585,262.598,17,56,188,211.585,537.626,325.15
25,90,252,163.61,439.225,238.442,29,100,304,188.572,488.099,287.566
24,78,441,127.314,364.012,319.471,28,91,503,153.051,423.759,364.718
16,58,207,140.253,447.961,249.37,19,65,256,168.226,503.318,308.58
85,322,1255,118.279,406.681,224.624,98,352,1455,136.501,444.463,260.38
22,81,260,123.438,384.506,231.938,27,95,316,153.652,452.628,281.426
185,818,3050,118.097,401.675,247.615,200,889,3498,127.821,436.408,283.994
101,402,1507,147.775,458.865,289.463,123,439,1868,179.678,501.347,358.82
10,35,100,175.323,427.826,257.15,11,41,119,208.779,497.384,304.989
143,567,2155,145.213,460.277,300.029,171,638,2579,172.683,517.914,359.106
45,184,629,149.591,447.124,296.748,53,218,746,175.973,529.603,351.604
34,160,541,112.933,414.863,239.406,43,180,666,144.231,466.34,294.629
151,578,2129,147.341,447.779,265.859,172,647,2582,167.494,501.746,322.407
12,60,174,137.223,476.003,253.351,14,65,202,161.285,514.588,292.877
42,197,669,122.116,428.814,259.724,54,220,805,155.174,480.562,312.678
14,47,127,197.882,517.574,276.965,16,52,150,228.239,576.95,325.339
68,241,1034,143.315,388.272,279.522,81,288,1253,171.688,463.02,338.58
235,984,3208,116.542,391.825,250.875,272,1067,3801,134.548,424.743,297.251
15,89,200,65.683,246.08,163.642,19,92,245,84.312,254.586,200.878
8,33,93,148.438,475.712,230.295,10,37,115,183.272,526.411,284.898
86,321,1080,141.722,433.759,236.913,94,354,1309,154.004,478.298,286.994
57,276,839,108.421,422.286,219.308,70,299,971,132.19,458.073,253.699
24,93,335,173.399,479.582,279.436,30,106,435,213.435,542.628,362.965
74,282,811,153.221,454.807,236.693,84,313,988,173.023,504.131,288.415
6,26,79,127.754,444.558,255.026,7,33,101,163.419,551.839,325.479
51,200,779,134.812,396.331,274.905,67,238,994,174.335,472.788,350.657
9,30,91,131.513,426.584,246.34,11,33,106,158.711,478.284,287.057
60,228,841,119.558,366.406,245.571,73,240,969,145.958,386.757,282.873
33,143,498,142.149,464.561,292.234,41,162,612,173.997,527.845,359.028
279,1241,3621,86.938,314.248,166.954,349,1380,4238,108.76,349.357,195.433
51,220,714,131.411,439.539,252.388,67,249,828,173.297,496.077,292.59
41,139,503,139.631,413.181,222.373,49,155,577,167.462,460.157,255.474
9,37,123,130.539,410.004,236.268,10,41,143,153.362,449.379,274.026
2,22,98,67.113,314.146,265.94,3,25,106,89.747,357.06,288.755
146,590,2700,106.299,355.712,239.414,170,688,3174,123.377,415.047,281.421
92,346,1378,119.928,357.79,261.216,113,406,1634,148.415,420.175,309.671
9,44,153,89.556,359.844,193.869,12,47,172,123.858,386.069,217.209
15,67,169,118.159,399.036,206.719,19,74,206,145.137,440.388,252.746
121,612,2075,110.573,437.262,263.918,145,671,2436,133.493,479.312,309.798
69,302,1020,125.863,424.795,267.251,79,343,1218,144.536,481.957,319.188
32,156,479,132.131,440.892,257.512,36,179,563,147,506.389,302.49
35,139,444,148.887,428.96,267.896,41,162,539,173.381,498.929,325.336
63,221,849,188.23,487.01,325.144,82,254,992,243.006,560.782,379.716
52,221,767,127.903,406.149,285.571,60,247,880,147.618,453.873,327.681
15,61,221,138.655,457.344,252.185,17,69,273,153.424,511.332,311.171
51,197,795,105.43,354.958,227.753,59,233,921,121.713,418.657,263.82
55,273,850,107.102,403.266,202.818,70,308,1025,137.176,455.082,244.559
121,490,1710,133.842,441.521,270.232,140,539,2009,154.904,486.272,317.364
58,275,720,131.678,467.915,226.031,71,295,907,161.374,501.549,284.617
32,145,476,124.436,415.668,276.403,39,168,580,153.381,481.828,337.027
84,293,1068,171.385,454.963,297.916,100,327,1275,203.29,507.821,355.736
12,45,145,154.129,424.49,246.233,17,57,189,210.296,530.326,321.993
21,90,234,136.424,432.083,220.077,24,101,293,161.352,481.728,274.905
21,83,390,110.135,361.575,271.082,26,97,441,134.915,423.571,307.004
15,55,198,127.329,410.428,236.199,18,65,242,155.806,482.125,287.754
86,310,1226,117.025,380.154,219.029,103,346,1340,140.126,424.189,239.51
23,82,258,130.104,377.773,225.807,29,97,315,167.889,442.8,275.789
174,817,2976,110.404,399.055,241.084,196,881,3379,124.926,430.314,273.728
100,395,1368,141.848,444.646,259.266,121,426,1800,172.03,479.412,341.254
9,36,100,168.212,434.709,256.189,11,41,124,206.885,496.27,316.839
139,555,2073,141.312,443.208,286.905,166,627,2486,168.552,500.881,343.989
46,195,638,156.468,468.82,297.536,55,223,745,185.022,536.814,347.447
35,154,541,116.298,393.018,235.533,44,179,640,147.403,455.66,278.687
142,586,2086,137.318,445.272,259.866,164,656,2559,158.489,498.761,318.722
11,51,173,130.895,404.036,251.229,14,58,203,155.801,454.453,293.567
43,197,678,120.916,428.538,261.537,54,224,802,151.163,485.853,309.004
12,46,131,172.673,495.562,281.772,15,52,154,212.527,560.208,332.567
64,245,1052,133.623,384.945,280.98,77,288,1236,161.416,452.71,330.067
228,977,3401,111.664,378.962,261.78,264,1081,3967,129.632,419.642,305.341
16,91,217,68.087,254.67,174.127,20,92,257,86.903,259.568,205.568
8,33,94,142.305,463.318,231.275,9,37,114,174.278,524.394,278.854
74,326,1120,119.879,429.898,242.799,83,362,1344,133.735,478.466,291.278
56,273,881,106.933,403.654,226.542,69,297,1029,131.668,439.667,264.581
23,98,373,166.923,500.9,309.051,27,111,470,196.61,569.598,389.54
73,290,817,152.697,457.844,236.006,86,316,991,178.645,499.204,286.395
6,26,76,136.129,424.134,239.727,8,32,98,173.715,519.051,311.386
47,197,773,124.25,388.654,269.372,61,234,934,159.465,462.976,325.489
7,30,89,107.485,412.619,238.455,10,35,108,151.392,475.562,288.9
57,227,786,110.728,352.05,221.432,70,264,923,136.778,409.396,259.99
30,134,471,130.799,433.606,272.47,38,156,599,162.023,503.489,346.079
295,1206,3822,89.709,303.49,174.903,358,1353,4459,108.731,340.423,204.054
48,207,596,121.459,408.676,207.867,63,238,717,159.287,470.22,250.279
39,144,488,129.286,417.232,215.513,46,157,569,155.153,455.692,251.271
8,36,134,121.924,391.354,250.135,10,41,156,147.714,446.933,292.493
2,23,93,71.417,347.577,254.899,3,26,103,93.329,392.593,282.272
142,620,2798,101.047,360.367,242.635,168,721,3316,119.509,419.212,287.626
84,349,1340,108.45,352.022,247.503,100,398,1635,128.33,402.19,302.034
8,44,147,77.192,357.082,184.144,10,49,170,102.966,394.285,213.193
14,70,185,106.26,402.823,219.382,17,77,219,131.444,448.147,260.623
117,608,2092,106.022,431.863,264.405,141,670,2454,128.081,476.212,310.192
67,299,1064,122.758,421.759,275.897,78,342,1254,141.892,482.354,325.131
29,150,458,121.681,425.066,243.358,35,181,560,146.149,511.43,297.108
32,140,446,135.292,428.165,266.555,39,160,539,166.051,487.933,322.289
58,207,816,171.692,457.779,308.502,71,241,1005,210.38,532.258,379.762
40,213,767,99.469,389.798,282.803,49,239,895,122.077,437.67,329.901
16,63,220,152.147,462.405,249.143,19,71,263,179.784,519.489,297.2
52,208,773,105.469,362.999,219.992,59,229,914,120.622,400.281,260.268
54,271,917,106.224,400.558,218.925,71,316,1106,139.535,466.155,264.09
111,503,1742,122.424,452.422,274.047,127,555,2052,139.493,499.302,322.954
56,277,731,128.476,463.379,227.114,69,304,896,158.214,508.943,278.085
28,133,464,111.426,382.6,265.477,35,161,566,138.222,463.276,324.087
77,293,1058,158.138,448.38,291.068,94,337,1290,192.146,516.044,354.702
11,46,156,146.78,417.827,260.557,15,56,201,195.461,514.745,334.907
19,84,249,127.461,399.687,230.979,23,96,296,156.024,455.191,274.478
21,93,399,106.378,387.764,267.471,26,105,465,128.159,436.766,311.196
13,56,185,110.022,408.651,217.826,16,65,226,134.542,472.864,266.194
84,313,1191,111.982,375.799,212.499,99,348,1383,132.972,418.58,246.719
20,89,261,116.991,396.569,223.289,26,102,309,151.442,453.59,264.892
170,810,2946,107.096,395.321,238.09,202,882,3342,127.407,430.356,270.107
99,396,1387,138.678,441.358,257.788,122,437,1719,171.073,486.97,319.501
7,35,97,137.78,425.178,242.563,9,41,122,175.654,498.668,306.628
126,543,2006,128.185,431.511,276.168,157,625,2391,160.062,496.781,329.131
43,185,606,148.694,441.475,279.262,52,212,709,177.214,506.259,326.37
33,164,564,112.171,414.146,242.107,43,184,659,144.595,465.158,282.582
135,572,2095,130.823,432.545,259.891,160,646,2509,154.461,488.356,311.264
11,50,164,120.198,396.3,237.5,13,56,192,146.075,450.151,277.199
43,195,756,119.55,419.559,286.224,54,221,867,151.295,476.915,328.251
10,41,115,155.233,434.324,243.283,13,47,144,191.031,497.978,304.797
64,282,1112,133.969,438.795,292.662,80,317,1349,168.068,494.018,354.959
203,972,3333,98.864,369.991,251.215,243,1108,3992,118.151,421.485,300.891
20,100,242,86.791,278.243,185.479,24,106,273,103.961,295.536,209.27
7,32,96,137.596,458.067,233.502,9,37,115,164.353,526.462,278.244
69,323,1114,110.791,417.411,237.983,81,372,1329,130.174,480.351,283.989
49,269,926,92.024,388.381,234.092,61,300,1057,116.57,432.936,267.181
22,92,386,160.287,476.477,317.92,27,108,498,194.868,559.47,409.574
61,281,910,129.454,439.502,259.859,78,313,1083,164.462,489.458,309.31
6,25,78,139.762,397.181,242.987,7,30,100,175.905,486.302,310.362
45,196,803,117.626,387.718,276.982,58,232,983,151.477,460.172,339.205
7,30,90,103.553,398.78,235.005,10,35,111,149.735,474.699,291.206
58,236,863,110.739,357.586,232.866,70,277,1026,133.603,419.493,277.115
32,137,505,137.79,447.787,287.808,38,156,629,163.672,508.818,358.166
258,1251,4341,78.326,306.295,196.887,313,1402,4944,94.911,343.297,224.262
42,206,606,108.224,400.995,206.175,55,236,730,142.275,459.398,248.419
31,146,452,102.77,417.469,198.696,37,164,541,124.627,471.02,237.958
7,34,130,106.028,371.204,240.777,9,39,151,125.187,420.899,279.34
3,26,94,74.208,364.161,253.948,3,28,106,93.525,393.764,286.784
135,622,2801,96.332,352.364,236.984,162,728,3324,115.192,412.222,281.261
78,350,1298,97.465,347.289,231.678,97,409,1663,121.162,405.83,296.738
7,42,154,72.187,336.498,191.16,9,46,174,91.451,365.932,215.681
13,62,197,100.822,365.046,227.195,16,72,235,124.741,419.299,270.576
116,573,2017,105.441,403.049,253.231,141,646,2362,127.984,453.988,296.557
65,302,1091,118.415,429.829,278.9,78,342,1300,142.006,487.001,332.198
31,147,453,127.303,421.734,239.95,39,175,570,158.147,500.509,301.937
29,135,435,124.604,415.367,258.336,37,158,542,159.565,486.541,321.788
53,219,804,155.259,492.8,300.485,66,247,1012,194.785,558.006,378.294
41,203,724,105.363,386.883,271.978,50,230,898,129.962,439.515,337.145
14,60,231,128.992,450.21,259.594,17,69,267,160.925,512.287,299.347
47,205,764,95.266,352.456,215.375,54,230,897,110.372,395.232,252.953
53,269,948,104.081,387.772,226.345,73,313,1142,142.218,450.803,272.846
102,495,1748,113.298,448.133,273.988,121,552,2058,134.076,499.24,322.647
54,276,746,124.627,465.275,229.502,67,307,919,153.076,516.734,282.799
26,124,487,99.497,365.935,276.993,34,152,597,130.667,446.542,339.262
65,281,1079,131.554,432.657,293.803,78,321,1300,158.755,494.245,354.124
11,46,160,136.179,425.365,264.648,14,56,200,179.805,521.234,329.83
17,84,268,116.556,401.765,247.489,21,97,319,144.345,460.118,294.751
21,95,421,103.912,387.39,271.203,25,106,486,120.243,428.973,313.343
12,58,184,107.065,424.996,214.278,15,65,221,130.488,473.938,257.009
81,318,1126,108.837,376.471,199.596,95,364,1393,127.613,431.514,246.94
20,94,272,115.157,415.262,229.647,26,107,322,146.736,469.961,272.075
154,794,2947,96.725,376.943,237.953,189,878,3333,119.163,416.882,269.183
80,380,1435,110.185,422.219,260.207,103,426,1721,141.809,473.567,312.097
6,34,93,121.86,404.261,236.728,8,40,115,152.58,475.763,292.033
122,553,2031,124.636,442.955,278.661,154,636,2418,157.056,508.87,331.802
38,178,684,129.356,427.977,312.536,48,208,808,161.883,501.547,369.228
33,154,522,110.304,389.305,218.79,42,174,623,140.944,440.944,261.474
131,544,2073,126.88,410.035,256.28,156,624,2483,151.567,470.811,307.006
10,51,162,110.297,405.734,235.866,12,57,192,134.511,454.765,279.618
44,199,806,121.407,431.619,298.717,54,221,921,149.33,479.533,341.183
9,38,120,141.541,414.042,251.384,12,45,150,174.009,489.129,314.86
63,298,1224,130.229,469.865,317.78,80,334,1479,164.794,526.149,383.984
201,985,3496,96.272,368.406,256.656,243,1133,4238,116.729,423.707,311.139
19,102,253,79.842,279.243,186.962,23,111,294,96.795,304.379,217.431
7,33,96,130.55,463.973,230.931,9,38,116,166.392,532.235,279.866
69,331,1143,111.07,422.617,239.742,80,376,1347,128.167,480.501,282.44
52,253,910,97.524,368.072,225.32,67,296,1087,125.354,431.015,269.124
20,84,397,143.427,446.739,325.528,25,99,499,184.177,528.093,409.418
52,269,957,110.269,425.6,270.966,65,300,1138,139.269,474.913,322.384
6,27,86,143.505,445.74,264.547,8,32,108,192.785,527.767,333.04
46,194,846,119.558,387.972,289.616,64,239,1002,164.336,478.203,343.2
6,29,95,97.755,396.21,239.276,9,35,116,141.865,464.643,294.439
56,250,964,105.041,373.896,250.109,66,281,1107,124.162,421.304,287.33
34,131,525,145.072,440.139,295.314,38,148,633,164.22,497.265,355.877
226,1240,4452,69.564,294.115,199.847,286,1417,5099,88.12,336.126,228.918
39,217,696,101.949,420.656,229.703,57,253,860,147.858,488.547,283.824
29,139,447,97.637,394.587,196.807,37,165,567,124.204,466.889,249.465
7,34,134,93.168,368.343,245.312,8,37,155,110.603,404.212,283.141
3,30,98,72.299,361.978,258.039,4,31,108,92.782,382.499,285.659
132,631,2964,94.78,354.577,246.136,162,736,3481,116.622,413.478,289.058
83,369,1407,100.439,368.003,244.126,113,439,1793,137.152,438.636,311.226
7,45,167,70.646,352.942,203.41,10,49,184,100.489,387.747,224.161
12,55,187,88.373,334.488,209.863,15,64,227,112.132,384.774,254.15
111,567,2030,101.753,395.524,253.429,138,643,2387,126.311,448.183,298.008
63,295,1084,117.563,428.275,273.106,79,337,1320,146.25,488.342,332.794
29,127,463,117.732,370.629,246.136,36,149,566,145.179,433.887,300.429
28,131,421,117.233,406.26,248.602,36,158,525,151.997,491.986,310.005
55,217,781,160.044,505.152,288.26,69,245,979,200.703,569.067,361.245
41,198,702,111.091,391.274,269.632,50,226,856,134.893,448.022,328.559
12,55,239,117.138,429.338,267.535,14,60,272,136.332,473.216,304.315
42,198,798,87.699,335.699,223.538,50,228,930,104.444,386.243,260.291
49,252,858,95.34,352.361,204.324,67,308,1047,131.663,429.718,249.184
95,457,1617,107.344,417.417,252.534,118,516,1934,132.438,471.581,302.195
51,259,777,115.97,444.407,237.092,63,294,961,144.534,504.55,293.269
24,124,472,93.352,374.473,268.622,31,146,588,121.274,441.87,335.04
59,265,1091,119.226,418.437,294.758,70,301,1256,140.955,476.154,339.481
10,42,137,121.072,394.987,224.324,13,53,179,166.315,499.413,293.442
16,82,264,107.94,392.56,242.845,19,94,313,130.427,450.153,288.084
21,90,435,100.487,368.648,270.38,25,101,484,118.463,412.928,300.454
11,55,191,99.359,406.965,219.758,14,62,223,126.127,465.325,257.174
66,316,1205,91.193,370.69,212.806,84,362,1437,115.639,424.444,253.792
20,94,264,117.839,414.278,219.795,26,107,324,150.167,470.708,270.208
130,734,2767,82.103,336.843,223.153,163,829,3120,103.486,380.524,251.657
80,354,1453,109.558,390.439,256.613,98,398,1766,134.098,438.462,311.841
6,35,92,124.254,400.262,236.032,8,42,111,152.978,476.693,286.506
